Metric		Current
TOTAL_NUMBER_OF_FILES		6
NUMBER_OF_FILES_MAIN		5
LINES_OF_CODE_MAIN		38
NUMBER_OF_FILES_MAIN_EXT_JAVA		5
LINES_OF_CODE_MAIN_EXT_JAVA		38
NUMBER_OF_FILES_TEST		0
LINES_OF_CODE_TEST		0
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		0
NUMBER_OF_FILES_GENERATED		0
LINES_OF_CODE_GENERATED		0
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		1
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		8
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT_EXT_XML		1
LINES_OF_CODE_BUILD_AND_DEPLOYMENT_EXT_XML		8
NUMBER_OF_FILES_OTHER		0
LINES_OF_CODE_OTHER		0
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ALPHA		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ALPHA		17
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ALPHA_EXT_JAVA		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ALPHA_EXT_JAVA		17
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BETA		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BETA		21
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_BETA_EXT_JAVA		3
LINES_OF_CODE_DECOMPOSITION_PRIMARY_BETA_EXT_JAVA		21
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		3
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		1
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		0
LINES_OF_CODE_CONCERN_GENERAL_TODOS		0
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		5
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		38
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JAVA		5
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JAVA		38
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		5
LOW_RISK_FILE_SIZE_COUNT		0
MEDIUM_RISK_FILE_SIZE_COUNT		0
HIGH_RISK_FILE_SIZE_COUNT		0
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		38
LOW_RISK_FILE_SIZE_LOC		0
MEDIUM_RISK_FILE_SIZE_LOC		0
HIGH_RISK_FILE_SIZE_LOC		0
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		6
LINES_OF_CODE_IN_UNITS		19
LINES_OF_CODE_OUTSIDE_UNITS		19
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		19
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		6
UNIT_SIZE_LOW_RISK_LOC		0
UNIT_SIZE_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_LOW_RISK_COUNT		0
UNIT_SIZE_MEDIUM_RISK_LOC		0
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_MEDIUM_RISK_COUNT		0
UNIT_SIZE_HIGH_RISK_LOC		0
UNIT_SIZE_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_HIGH_RISK_COUNT		0
UNIT_SIZE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ALPHA_NEGLIGIBLE_RISK_LOC		7
UNIT_SIZE_COMPONENT_ALPHA_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_ALPHA_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_ALPHA_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_ALPHA_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ALPHA_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ALPHA_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_ALPHA_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ALPHA_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ALPHA_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ALPHA_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ALPHA_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ALPHA_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ALPHA_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ALPHA_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BETA_NEGLIGIBLE_RISK_LOC		12
UNIT_SIZE_COMPONENT_BETA_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_BETA_NEGLIGIBLE_RISK_COUNT		4
UNIT_SIZE_COMPONENT_BETA_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_BETA_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_BETA_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_BETA_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_BETA_MEDIUM_RISK_PERCENTAGE		0
