Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		19
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_NEGLIGIBLE_RISK_LOC		7
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ALPHA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_NEGLIGIBLE_RISK_LOC		12
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_BETA_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_NEGLIGIBLE_RISK_LOC		19
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JAVA_VERY_HIGH_RISK_LOC		0
